ID,City,Latitude,Longitude,Country,State
5955826,Fort Frances,48.61667,-93.4003,CA,8
5955840,Fort Good Hope,66.25698,-128.6374,CA,13
5955887,Fort Liard,60.23947,-123.47371,CA,13
5955891,Fort Macleod,49.71671,-113.41857,CA,1
5955895,Fort McMurray,56.72676,-111.38103,CA,1
5955898,Fort McPherson,67.43863,-134.88543,CA,13
5955902,Fort Nelson,58.80533,-122.7002,CA,2
5955948,Fort Saskatchewan,53.69814,-113.21382,CA,1
5955954,Fort Smith,60.00439,-111.88871,CA,13
5955960,Fort St. John,56.24988,-120.85292,CA,2
5956869,Fox Creek,54.40007,-116.80238,CA,1
5957404,Franklin,45.03338,-73.91591,CA,10
5957776,Fredericton,45.94541,-66.66558,CA,4
5957946,French Creek,49.34123,-124.35541,CA,2
5958590,Fruitvale,49.11654,-117.55222,CA,2
5959271,Gambo,48.7832,-54.21482,CA,5
5959326,Gananoque,44.33342,-76.16607,CA,8
5959340,Gander Bay North,49.34992,-54.48141,CA,5
5959360,Ganges,48.85342,-123.50032,CA,2
5959805,Garson,50.0778,-96.7073,CA,3
5959878,Gaspé,48.83341,-64.48194,CA,10
5959974,Gatineau,45.47723,-75.70164,CA,10
5960842,Gibbons,53.83345,-113.33531,CA,1
5960971,Gibsons,49.39539,-123.50555,CA,2
5961417,Gimli,50.63362,-96.99066,CA,3
5961560,Gjoa Haven,68.62602,-95.87836,CA,14
5961564,Glace Bay,46.19695,-59.95698,CA,7
5961876,Glencoe,42.75009,-81.71648,CA,8
5962440,Godefroy,51.75012,-68.08213,CA,10
5962442,Goderich,43.74171,-81.71339,CA,8
5962582,Golden,51.29995,-116.9689,CA,2
5963013,Goodwood,44.03342,-79.19959,CA,8
5963821,Goulds,47.45532,-52.77552,CA,5
5964215,Granby,45.40008,-72.73243,CA,10
5964230,Grand Bank,47.09995,-55.76504,CA,5
5964304,Grande Cache,53.88335,-119.13585,CA,1
5964318,Grande-Digue,46.30014,-64.56546,CA,4
5964347,Grande Prairie,55.16667,-118.80271,CA,1
5964378,Grand Falls-Windsor,48.93324,-55.66492,CA,5
5964401,Grand Forks,49.03309,-118.4356,CA,2
5964410,Grand Haven,56.23333,-120.9,CA,2
5964700,Greater Sudbury,46.49,-80.99001,CA,8
5965462,Gravelbourg,49.88336,-106.55122,CA,11
5965546,Gravenhurst,44.91681,-79.36633,CA,8
5965812,Greater Napanee,44.25012,-76.94944,CA,8
5965944,Greenbank,44.15012,-79.01628,CA,8
5966580,Green's Harbour,47.63319,-53.49809,CA,5
5966622,Greenstone,49.73343,-87.16668,CA,8
5966689,Greenwood,44.97413,-64.93169,CA,7
5966821,Grenfell,50.41674,-102.93432,CA,11
5967157,Grimshaw,56.18339,-117.6027,CA,1
5967590,Grunthal,49.40668,-96.85873,CA,3
5967629,Guelph,43.54594,-80.25599,CA,8
5967690,Guildwood,43.75262,-79.19486,CA,8
5967988,Gull Lake,50.10007,-108.48471,CA,11
5969025,Haines Junction,60.75216,-137.51082,CA,12
5969782,Hamilton,43.25011,-79.84963,CA,8
5970014,Hampstead,45.48064,-73.66307,CA,10
5970018,Hampton,45.52876,-65.85354,CA,4
5970063,Hanceville,51.91922,-123.04458,CA,2
5970234,Hanna,51.63343,-111.90181,CA,1
5970301,Hanover,44.15009,-81.03303,CA,8
5970414,Hantsport,45.06685,-64.16544,CA,7
5970458,Happy Valley-Goose Bay,53.3038,-60.32576,CA,5
5970478,Harbour Breton,47.48325,-55.79833,CA,5
5970873,Hare Bay,48.8499,-54.01481,CA,5
5971448,Harriston,43.91199,-80.87199,CA,8
5972068,Haute-Aboujagane,46.14834,-64.39892,CA,4
5972291,Havre-Saint-Pierre,50.24342,-63.60264,CA,10
5972360,Hawkesbury,45.60009,-74.61595,CA,8
5972762,Hay River,60.81555,-115.79993,CA,13
5972961,Headingley,49.8753,-97.40896,CA,3
5973108,Hearst,49.68351,-83.66654,CA,8
5973741,Hemmingford,45.05008,-73.58248,CA,10
5973973,Henry Farm,43.76952,-79.3524,CA,8
5974949,Highland Creek,43.79068,-79.17555,CA,8
5975004,High Level,58.51688,-117.13605,CA,1
5975034,High Prairie,55.4334,-116.4858,CA,1
5975038,High River,50.58341,-113.86867,CA,1
5975182,Hillcrest Village,43.80486,-79.35442,CA,8
5975503,Hinton,53.40009,-117.58567,CA,1
5976783,Hope,49.38299,-121.44144,CA,2
5976999,Hornby Island,49.53448,-124.66923,CA,2
5977046,Hornepayne,49.21451,-84.77617,CA,8
5977783,Houston,54.39976,-126.67008,CA,2
5978126,Hudson,45.45008,-74.14922,CA,10
5978133,Hudson Bay,52.85003,-102.38425,CA,11
5978398,Humber Summit,43.7579,-79.57501,CA,8
5978404,Humboldt,52.20005,-105.1255,CA,11
5978683,Huntingdon,45.08339,-74.16593,CA,10
5978765,Huntsville,45.33341,-79.21632,CA,8
5978831,Huron East,43.61679,-81.29975,CA,8
5980472,Ile des Chênes,49.7106,-96.98893,CA,3
5982839,Indian Head,50.53336,-103.66775,CA,11
5983175,Ingersoll,43.03339,-80.88302,CA,8
5983433,Innisfil,44.30011,-79.64964,CA,8
5983607,Inuvik,68.36166,-133.72817,CA,13
5983626,Invermere,50.51666,-116.03538,CA,2
5983680,Ionview,43.73694,-79.27333,CA,8
5983720,Iqaluit,63.74697,-68.51727,CA,14
5984000,Iroquois Falls,48.76688,-80.68307,CA,8
5984019,Irricana,51.32372,-113.60475,CA,1
5985477,Jaffray,49.38324,-115.30204,CA,2
5985873,Jarvis,42.88559,-80.1122,CA,8
5985934,Jasper Park Lodge,52.88633,-118.05625,CA,1
5987650,Joliette,46.0164,-73.4236,CA,10
5989045,Kamloops,50.66648,-120.3192,CA,2
5989068,Kamsack,51.56668,-101.90093,CA,11
5989117,Kanata,45.3001,-75.91606,CA,8
5989403,Kapuskasing,49.41694,-82.43308,CA,8
5989931,Kazabazua,45.95011,-76.01606,CA,10
5990579,Kelowna,49.88307,-119.48568,CA,2
5990669,Kelvington,52.16669,-103.5343,CA,11
5990916,Kennedy Park,43.72267,-79.26052,CA,8
5991055,Kenora,49.76741,-94.48985,CA,8
5991080,Kensington,46.43343,-63.64871,CA,9
5991148,Kentville,45.0771,-64.49605,CA,7
5991284,Kerrobert,51.91682,-109.13479,CA,11
5991370,Keswick,44.25011,-79.46632,CA,8
5991374,Keswick Ridge,46.00011,-66.88218,CA,4
5991888,Killam,52.78344,-111.85175,CA,1
5991907,Killarney,49.18332,-99.66364,CA,3
5992059,Kimberley,49.67071,-115.9776,CA,2
5992144,Kincardine,44.18339,-81.63307,CA,8
5992154,Kindersley,51.46681,-109.16818,CA,11
5992180,King,43.96514,-79.59011,CA,8
5992424,Kingsey Falls,45.85007,-72.0658,CA,10
5992500,Kingston,44.22976,-76.48098,CA,8
5992724,Kipling,50.10003,-102.6343,CA,11
5992830,Kirkland,45.45008,-73.86586,CA,10
5992836,Kirkland Lake,48.14461,-80.03767,CA,8
5992996,Kitchener,43.42537,-80.5112,CA,8
